,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
372,Magomeni,-6.8,39.25,23.0,94,20,2.1,TZ,1590881589
373,Lubango,-14.92,13.49,13.83,36,0,1.62,AO,1590881589
374,Northam,51.03,-4.22,16.67,55,1,2.68,GB,1590881589
375,El Reno,35.53,-97.95,29.0,35,1,3.1,US,1590881372
376,Hailar,49.2,119.7,12.87,47,100,4.94,CN,1590881589
377,Ponta Delgada,37.73,-25.67,18.0,93,75,4.6,PT,1590881589
378,Bereda,43.27,-7.54,15.56,96,100,0.81,ES,1590881589
379,Huarmey,-10.07,-78.15,19.86,84,54,4.17,PE,1590881589
380,Lafayette,30.23,-92.07,30.0,54,40,3.46,US,1590881589
381,Dalgopol,43.05,27.35,11.67,93,6,2.1,BG,1590881589
382,Chui,-33.7,-53.46,16.67,91,92,3.01,UY,1590881589
383,Concarneau,47.88,-3.92,16.0,67,0,2.6,FR,1590881589
384,Suso,17.36,120.46,29.82,64,2,1.05,PH,1590881589
385,Itarema,-2.92,-39.92,25.04,88,100,3.01,BR,1590881590
386,Cam Ranh,11.92,109.16,28.0,74,20,0.5,VN,1590881590
387,Oussouye,12.48,-16.55,26.0,88,20,3.1,SN,1590881590
388,Pimentel,-6.84,-79.93,20.31,85,28,5.24,PE,1590881590
389,Pingzhuang,42.04,119.29,14.01,77,100,1.7,CN,1590881590
390,Manyana,-23.4,21.72,11.28,39,0,1.8,BW,1590881590
391,Kaveripattinam,12.42,78.22,26.88,68,46,1.77,IN,1590881590
392,Mahébourg,-20.41,57.7,20.0,94,20,2.6,MU,1590881590
393,Dalby,-27.18,151.27,17.0,82,79,1.5,AU,1590881590
394,Lagoa,39.05,-27.98,17.5,94,100,4.57,PT,1590881590
395,Vila Velha,-20.33,-40.29,21.11,88,3,1.5,BR,1590881590
396,Dingle,11.0,122.67,29.32,71,39,4.37,PH,1590881590
397,Mariakani,-3.86,39.47,21.93,92,59,3.54,KE,1590881590
398,Edéa,3.8,10.13,25.0,94,20,0.77,CM,1590881590
399,Kingisepp,59.37,28.61,8.76,70,0,3.21,RU,1590881590
400,Kangalassy,62.35,129.96,8.0,52,20,2.0,RU,1590881591
401,Kahama,-3.83,32.6,17.03,57,43,3.04,TZ,1590881591
402,Xinglongshan,43.96,125.47,21.0,49,20,7.0,CN,1590881591
403,Faanui,-16.48,-151.75,27.1,81,6,8.15,PF,1590881591
404,Bonavista,48.65,-53.11,10.47,93,9,8.5,CA,1590881591
405,Tautira,-17.73,-149.15,30.0,70,40,2.1,PF,1590881591
406,Blyth,55.13,-1.51,11.67,87,0,2.6,GB,1590881591
407,Palmer,42.16,-72.33,25.0,31,1,4.1,US,1590881518
408,Andenes,69.31,16.12,7.0,93,91,1.0,NO,1590881591
409,Batagay,67.63,134.63,7.1,53,0,1.59,RU,1590881591
410,Sal Rei,16.18,-22.92,23.0,78,75,6.2,CV,1590881591
411,Kaseda-shirakame,31.42,130.32,18.0,88,75,5.1,JP,1590881591
412,Batagay-Alyta,67.8,130.41,3.22,70,7,1.6,RU,1590881591
413,Lumeje,-11.55,20.78,16.0,61,78,2.37,AO,1590881591
414,Petropavlovsk-Kamchatskiy,53.05,158.65,12.0,46,34,3.0,RU,1590881591
415,San Juan,-31.54,-68.54,10.19,43,79,2.43,AR,1590881592
416,Senanga,-16.12,23.27,13.91,43,10,2.47,ZM,1590881592
417,Ust'-Barguzin,53.45,108.98,9.07,51,27,1.42,RU,1590881592
418,Merauke,-8.47,140.33,27.82,79,20,6.1,ID,1590881592
419,Antofagasta,-23.65,-70.4,18.0,72,89,2.1,CL,1590881592
420,Nouadhibou,20.93,-17.03,20.0,82,0,7.2,MR,1590881592
421,Ucluelet,48.93,-125.55,14.0,67,75,9.3,CA,1590881515
422,Bonthe,7.53,-12.51,26.17,84,100,1.44,SL,1590881592
423,Calama,-22.47,-68.93,14.0,54,75,8.7,CL,1590881592
424,Bobo-Dioulasso,11.18,-4.3,29.0,74,20,3.1,BF,1590881592
425,Luocheng,29.38,104.03,22.09,83,100,1.49,CN,1590881592
426,Warmbad,-28.45,18.73,17.26,26,0,4.73,NA,1590881592
427,Marzuq,14.4,46.47,28.37,34,94,0.13,YE,1590881592
428,Changde,29.05,111.68,24.37,79,100,1.15,CN,1590881592
429,Alekseyevka,50.63,38.69,11.59,93,9,5.28,RU,1590881592
430,São Filipe,14.9,-24.5,24.02,71,0,1.9,CV,1590881593
431,Emerald,-23.53,148.17,18.0,72,0,3.1,AU,1590881593
432,Goderich,43.75,-81.72,11.11,75,25,6.93,CA,1590881593
433,Lovrenc na Pohorju,46.54,15.39,6.67,72,19,1.33,SI,1590881593
434,Shouguang,36.88,118.74,21.67,71,83,0.89,CN,1590881593
435,Bonnyville,54.27,-110.73,21.0,37,75,7.2,CA,1590881417
436,Kalmunai,7.42,81.82,26.86,83,79,2.22,LK,1590881585
437,Bay City,43.59,-83.89,17.0,48,20,8.7,US,1590881534
438,Presidente Epitácio,-21.76,-52.12,17.35,67,0,1.39,BR,1590881586
439,Quatre Cocos,-20.21,57.76,21.67,94,20,2.6,MU,1590881593
440,Snåase,64.25,12.38,11.39,69,6,1.62,NO,1590881593
441,Stepnoye,51.4,46.87,16.67,66,0,2.24,RU,1590881594
442,Chicama,-7.84,-79.15,21.38,76,8,2.71,PE,1590881594
443,Bad Kreuznach,49.83,7.87,15.0,66,8,1.8,DE,1590881594
444,Villamontes,-21.25,-63.5,22.23,62,1,3.12,BO,1590881594
445,Pangody,65.85,74.49,5.64,82,100,6.52,RU,1590881594
446,Chingirlau,51.09,54.08,19.44,66,65,1.69,KZ,1590881594
447,Hay River,60.82,-115.8,12.0,30,75,5.7,CA,1590881493
448,Bowen,-20.02,148.23,23.89,83,6,3.1,AU,1590881594
449,Bariloche,-41.15,-71.31,0.0,80,0,2.6,AR,1590881595
450,Medicine Hat,50.05,-110.67,29.0,26,75,4.1,CA,1590881488
451,Shitanjing,39.23,106.34,13.56,32,0,2.06,CN,1590881595
452,Lima,-12.04,-77.03,19.0,82,90,6.2,PE,1590881527
453,Zaysan,47.47,84.87,17.16,52,48,2.92,KZ,1590881595
454,San Jose,37.34,-121.89,21.0,56,75,8.2,US,1590881595
455,Bandrele,-12.91,45.19,27.0,83,90,8.2,YT,1590881595
456,Matara,5.95,80.54,26.25,90,17,3.68,LK,1590881595
457,Alta Floresta,-9.88,-56.09,22.53,78,16,1.58,BR,1590881595
458,Husainābād,24.53,84.02,29.29,47,65,2.69,IN,1590881595
459,Ishigaki,24.34,124.16,29.0,89,75,7.2,JP,1590881595
460,Turinsk,58.05,63.7,10.75,90,100,0.46,RU,1590881595
461,Dunedin,-45.87,170.5,11.67,62,67,4.47,NZ,1590881470
462,Pratāpgarh,24.03,74.78,25.84,57,28,1.19,IN,1590881595
463,Āwash,8.98,40.17,24.97,51,81,3.07,ET,1590881595
464,Kanniyākumāri,8.08,77.57,27.66,82,77,4.05,IN,1590881405
465,Buchanan,5.88,-10.05,26.29,84,100,1.73,LR,1590881596
466,Itaituba,-4.28,-55.98,26.0,94,75,2.1,BR,1590881596
467,Kysyl-Syr,63.9,122.76,10.69,53,88,2.13,RU,1590881596
468,Riyadh,24.69,46.72,29.0,25,0,1.5,SA,1590881596
469,Cayenne,4.93,-52.33,27.0,83,97,1.5,GF,1590881321
470,Kipushi,-11.77,27.23,14.54,81,36,1.58,CD,1590881596
471,San Policarpo,12.18,125.51,28.85,79,2,3.73,PH,1590881596
472,Tres Picos,15.87,-93.53,27.56,72,100,1.67,MX,1590881596
473,Anito,12.45,125.29,28.48,80,1,3.27,PH,1590881596
474,Caraz,-9.05,-77.81,16.17,59,86,1.19,PE,1590881596
475,Ximeicun,24.96,118.38,27.0,88,100,3.0,CN,1590881596
476,Alice Springs,-23.7,133.88,16.0,63,0,2.1,AU,1590881596
477,Hisar,29.17,75.72,26.17,65,52,3.67,IN,1590881596
478,Naze,28.37,129.48,25.0,100,75,6.7,JP,1590881596
479,Mabaruma,8.2,-59.78,24.81,92,100,1.45,GY,1590881596
480,Felanitx,39.47,3.15,17.0,77,0,1.0,ES,1590881597
481,Carovigno,40.71,17.66,15.56,83,87,5.79,IT,1590881597
482,Ciudad Nicolás Romero,19.62,-99.31,22.0,30,40,5.1,MX,1590881597
483,Bereket,39.24,55.52,25.7,40,49,3.37,TM,1590881597
484,Castlemaine,-37.07,144.22,11.11,81,83,2.24,AU,1590881597
485,Aktobe,50.28,57.21,21.0,60,74,3.0,KZ,1590881456
486,Mount Isa,-20.73,139.5,20.0,30,40,2.53,AU,1590881597
487,Clyde River,70.47,-68.59,-3.0,100,20,1.5,CA,1590881597
488,Puerto Escondido,15.85,-97.07,29.0,70,75,4.1,MX,1590881597
489,Kayerkan,69.35,87.76,2.0,80,45,9.0,RU,1590881597
490,Kodinsk,58.69,99.18,8.93,92,97,2.25,RU,1590881597
491,Plean,56.07,-3.88,11.67,87,2,3.6,GB,1590881597
492,Bongandanga,1.5,21.05,21.84,99,81,0.81,CD,1590881597
493,Praia da Vitória,38.73,-27.07,18.0,93,75,4.68,PT,1590881597
494,Paamiut,61.99,-49.67,3.11,86,92,2.63,GL,1590881597
495,Severodvinsk,64.56,39.83,5.0,80,75,4.0,RU,1590881597
496,Lillooet,50.69,-121.94,16.11,93,40,1.38,CA,1590881598
497,Athabasca,54.72,-113.29,20.41,59,81,6.36,CA,1590881598
498,Araouane,18.9,-3.53,33.46,24,32,2.74,ML,1590881598
499,Baoning,25.34,110.03,25.0,94,75,1.0,CN,1590881598
500,La Ronge,55.1,-105.28,22.0,28,20,2.6,CA,1590881598
501,Perevolotskiy,51.88,54.19,18.76,78,81,3.11,RU,1590881598
502,Sechura,-5.56,-80.82,22.58,74,4,7.35,PE,1590881598
503,Dicabisagan,17.08,122.42,29.3,66,2,1.78,PH,1590881598
504,Kankaanpää,61.8,22.42,12.0,46,2,2.6,FI,1590881598
505,Siocon,7.71,122.14,29.32,70,91,1.03,PH,1590881598
506,Iqaluit,63.75,-68.51,-1.0,74,90,1.0,CA,1590881411
507,Xining,36.62,101.77,10.41,46,19,1.36,CN,1590881598
508,Hammerfest,70.66,23.68,5.0,100,100,7.2,NO,1590881598
509,Binzhou,37.37,118.02,21.67,71,96,0.89,CN,1590881598
510,Lakatoro,-16.1,167.42,28.0,83,75,2.6,VU,1590881598
511,Zhongshu,24.52,103.77,17.98,83,30,2.83,CN,1590881599
512,Majene,-3.54,118.97,27.78,79,48,1.37,ID,1590881599
513,Ekhabi,53.51,142.97,6.19,94,99,5.06,RU,1590881599
514,Ternate,0.8,127.4,28.24,74,0,0.98,ID,1590881599
515,Great Yarmouth,52.61,1.73,13.33,96,4,1.34,GB,1590881418
516,Agutaya,11.15,120.94,29.5,77,18,7.7,PH,1590881599
517,Coaticook,45.13,-71.8,17.0,59,40,2.6,CA,1590881599
518,Sigli,5.38,95.96,26.58,74,74,2.37,ID,1590881599
519,Tieling,42.29,123.84,20.92,57,86,6.57,CN,1590881599
520,Shangrao,28.45,117.97,22.8,88,98,1.5,CN,1590881599
521,Socorro,31.65,-106.3,33.89,18,40,5.1,US,1590881553
522,Shepsi,44.04,39.15,14.96,71,2,0.84,RU,1590881600
523,Kangaatsiaq,68.31,-53.46,1.19,88,45,6.04,GL,1590881600
524,Churapcha,62.0,132.43,9.71,45,23,2.57,RU,1590881600
525,Paita,-5.09,-81.11,21.11,82,3,7.15,PE,1590881600
526,Yalta,44.5,34.17,14.29,81,53,3.85,UA,1590881600
527,Sapa,5.15,120.32,29.05,75,31,2.18,PH,1590881600
528,Serebryanyy Bor,56.8,124.8,7.77,52,99,4.74,RU,1590881600
529,Terrace,54.52,-128.6,17.0,55,75,6.2,CA,1590881600
530,Hualmay,-11.1,-77.61,19.11,86,65,4.29,PE,1590881600
531,Xixiang,35.16,112.86,23.75,59,78,1.47,CN,1590881600
532,Corn Island,12.17,-83.04,28.78,73,80,3.44,NI,1590881600
533,Abnūb,27.27,31.15,21.0,49,0,5.1,EG,1590881600
534,Chapleau,47.84,-83.4,8.0,52,75,3.1,CA,1590881600
535,Mpika,-11.83,31.45,15.18,84,26,3.09,ZM,1590881600
536,Sanming,26.25,117.62,25.01,86,100,0.34,CN,1590881601
537,Alugan,12.22,125.48,28.68,80,2,3.52,PH,1590881601
538,Traverse City,44.76,-85.62,12.0,46,20,6.2,US,1590881470
539,Cap Malheureux,-19.98,57.61,21.67,86,6,2.24,MU,1590881601
540,Santa Vitória do Palmar,-33.52,-53.37,16.84,90,93,2.76,BR,1590881601
541,Belyy Yar,53.6,91.39,12.0,76,100,3.0,RU,1590881601
542,Kiama,-34.68,150.87,17.22,66,100,2.24,AU,1590881601
543,Honningsvåg,70.98,25.97,6.3,94,100,6.53,NO,1590881601
544,Kumbo,6.2,10.67,15.71,89,97,0.24,CM,1590881601
545,Oddur,4.12,43.89,23.0,82,96,7.32,SO,1590881601
546,Inuvik,68.35,-133.72,12.0,37,20,5.1,CA,1590881559
547,Klamath Falls,42.22,-121.78,13.0,71,90,4.1,US,1590881601
548,Arrondissement de Reims,49.17,4.08,8.0,81,0,3.53,FR,1590881602
549,Port-Gentil,-0.72,8.78,26.0,83,40,5.1,GA,1590881602
550,Deer Lake,49.17,-57.43,18.0,93,90,2.6,CA,1590881429
551,Hakui,36.88,136.78,21.11,80,100,1.18,JP,1590881602
552,Lavrentiya,65.58,-171.0,9.4,51,15,5.08,RU,1590881602
553,Villazón,-22.09,-65.59,10.31,43,58,3.11,BO,1590881602
554,Lima Duarte,-21.84,-43.79,12.76,88,0,1.25,BR,1590881547
555,Kalāleh,37.38,55.49,23.0,83,1,1.0,IR,1590881602
556,Finschhafen,-6.6,147.87,28.64,69,50,2.86,PG,1590881602
557,Chokwé,-24.53,32.98,17.4,95,0,1.23,MZ,1590881602
558,Arroio dos Ratos,-30.08,-51.73,18.89,93,78,0.42,BR,1590881602
559,Mariental,-24.63,17.97,15.21,29,0,4.22,NA,1590881602
560,Aklavik,68.22,-135.01,9.0,39,20,4.1,CA,1590881602
561,Ochakiv,46.61,31.55,13.0,100,62,3.0,UA,1590881602
562,Honiara,-9.43,159.95,31.0,70,20,1.5,SB,1590881602
563,Port Augusta,-32.5,137.77,10.0,100,31,4.1,AU,1590881602
564,Djebeniana,35.03,10.91,21.0,77,40,2.1,TN,1590881602
565,Gravdal,68.12,13.5,8.46,89,9,4.18,NO,1590881603
566,Nísia Floresta,-6.09,-35.21,24.0,100,90,3.6,BR,1590881603
567,Bindura,-17.3,31.33,12.16,65,40,0.64,ZW,1590881603
568,Nelson Bay,-32.72,152.15,17.22,100,38,2.6,AU,1590881603
569,Yining,29.04,114.56,24.04,83,100,0.37,CN,1590881603
570,Pendleton,45.67,-118.79,26.11,63,86,6.71,US,1590881603
571,Sur,22.57,59.53,31.52,61,87,5.32,OM,1590881603
572,Linjiang,41.81,126.91,22.72,54,1,1.01,CN,1590881603
573,Mineiros,-17.57,-52.55,16.33,66,0,1.64,BR,1590881603
574,Malokaterynivka,47.65,35.25,13.33,95,35,6.68,UA,1590881603
575,Bandarbeyla,9.49,50.81,27.36,78,95,11.05,SO,1590881603
576,Hervey Bay,-25.3,152.85,18.33,85,14,3.13,AU,1590881603
577,Kailua,21.4,-157.74,32.0,52,40,6.2,US,1590881604
578,Kwinana,-32.25,115.77,16.0,87,90,4.6,AU,1590881604
579,Itoman,26.12,127.67,28.0,94,40,4.6,JP,1590881098
